week,fantasy_team_id,fantasy_team,opponent_team_id,opponent_team,player_id,player_name,position,lineup_slot,eligible_slots,points,was_started,pro_team,injury_status,injured
1,9,ybgcorp,6,Jeremy Lin fan club,4066457,Austin Reaves,SG,PG,"['PG', 'SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",195.0,True,LAL,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4395626,Tre Jones,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",46.0,True,CHI,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4701230,Jalen Johnson,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",66.0,True,ATL,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4222252,Isaiah Hartenstein,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",78.0,True,OKC,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4711272,Reed Sheppard,SG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",36.0,True,HOU,ACTIVE,False
1,6,Jeremy Lin fan club,9,ybgcorp,4593125,Santi Aldama,PF,PG,"['SF', 'PF', 'C', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",71.0,True,MEM,OUT,True
1,6,Jeremy Lin fan club,9,ybgcorp,4278053,Davion Mitchell,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",9.0,True,MIA,ACTIVE,False
1,6,Jeremy Lin fan club,9,ybgcorp,4433255,Chet Holmgren,C,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",131.0,True,OKC,ACTIVE,False
1,6,Jeremy Lin fan club,9,ybgcorp,4432165,Jalen Suggs,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",53.0,True,ORL,ACTIVE,False
1,6,Jeremy Lin fan club,9,ybgcorp,4433192,Tari Eason,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",2.0,True,HOU,ACTIVE,False
1,6,Jeremy Lin fan club,9,ybgcorp,4432174,Cam Thomas,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",102.0,True,FA,ACTIVE,False
1,6,Jeremy Lin fan club,9,ybgcorp,6478,Nikola Vucevic,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",83.0,True,BOS,ACTIVE,False
1,6,Jeremy Lin fan club,9,ybgcorp,3136193,Devin Booker,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",97.0,True,PHO,ACTIVE,False
